Id,Target
0,0.167734
1,0.092961
2,0.155073
3,0.487461
4,0.220314
5,0.07025
6,0.644998
7,0.746873
8,0.036051
9,0.23222
10,0.045444
11,0.477944
12,0.377673
13,0.249052
14,0.256677
15,0.126436
16,0.317039
17,0.042916
18,0.155159
19,0.339925
20,0.257217
21,0.113565
22,0.065352
23,0.059612
24,0.15967
25,0.043235
26,0.036398
27,0.37203
28,0.823338
29,0.295291
30,0.302534
31,0.125241
32,0.112189
33,0.036121
34,0.128823
35,0.186207
36,0.623633
37,0.15029
38,0.190736
39,0.532617
40,0.149065
41,0.111983
42,0.471869
43,0.12628
44,0.198197
45,0.478035
46,0.211638
47,0.493303
48,0.659122
49,0.30039
50,0.122271
51,0.441524
52,0.05369
53,0.655763
54,0.238422
55,0.395861
56,0.348389
57,0.092565
58,0.071215
59,0.080496
60,0.182265
61,0.358769
62,0.16068
63,0.587865
64,0.050093
65,0.374759
66,0.550346
67,0.113365
68,0.027326
69,0.080186
70,0.22462
71,0.133121
72,0.231437
73,0.044358
74,0.135913
75,0.144969
76,0.360396
77,0.034392
78,0.197815
79,0.258523
80,0.246243
81,0.215068
82,0.124935
83,0.042971
84,0.248276
85,0.047205
86,0.386269
87,0.089274
88,0.622648
89,0.171504
90,0.100257
91,0.098516
92,0.085105
93,0.179149
94,0.124927
95,0.091885
96,0.251304
97,0.397386
98,0.125832
99,0.398164
100,0.076039
101,0.157783
102,0.160634
103,0.028187
104,0.286362
105,0.228624
106,0.030721
107,0.040184
108,0.19671
109,0.696185
110,0.621554
111,0.346124
112,0.064307
113,0.670992
114,0.42412
115,0.04621
116,0.437524
117,0.110521
118,0.571486
119,0.46948
120,0.303173
121,0.089831
122,0.176262
123,0.701665
124,0.165275
125,0.015325
126,0.071194
127,0.305103
128,0.209468
129,0.046416
130,0.776446
131,0.638202
132,0.225016
133,0.331404
134,0.05032
135,0.175596
136,0.41022
137,0.250214
138,0.712446
139,0.60335
140,0.15509
141,0.249545
142,0.295184
143,0.440791
144,0.169814
145,0.430684
146,0.203837
147,0.122215
148,0.127128
149,0.22991
150,0.130876
151,0.030483
152,0.312081
153,0.166184
154,0.122398
155,0.249799
156,0.015299
157,0.419727
158,0.554992
159,0.162608
160,0.196795
161,0.139576
162,0.293409
163,0.153748
164,0.491191
165,0.069284
166,0.61629
167,0.464496
168,0.235344
169,0.835019
170,0.207669
171,0.628005
172,0.270865
173,0.127947
174,0.047267
175,0.235628
176,0.092438
177,0.297065
178,0.323301
179,0.260894
180,0.181253
181,0.344407
182,0.19668
183,0.027105
184,0.547905
185,0.692244
186,0.26117
187,0.094106
188,0.387361
189,0.360197
190,0.029858
191,0.441332
192,0.391857
193,0.620353
194,0.141368
195,0.060806
196,0.305119
197,0.857311
198,0.427582
199,0.515287
200,0.219485
201,0.178881
202,0.028478
203,0.154341
204,0.256223
205,0.227767
206,0.458305
207,0.667027
208,0.237444
209,0.276158
210,0.209756
211,0.183744
212,0.10119
213,0.568342
214,0.142571
215,0.507814
216,0.193961
217,0.13114
218,0.056481
219,0.418874
220,0.150894
221,0.07451
222,0.127437
223,0.083439
224,0.091267
225,0.095754
226,0.228112
227,0.090139
228,0.351197
229,0.183641
230,0.074647
231,0.102679
232,0.284111
233,0.066582
234,0.133349
235,0.178139
236,0.098972
237,0.134095
238,0.455748
239,0.900518
240,0.278241
241,0.061053
242,0.410449
243,0.188795
244,0.263763
245,0.173177
246,0.231082
247,0.19451
248,0.617415
249,0.083461
250,0.141907
251,0.260791
252,0.443344
253,0.168721
254,0.057025
255,0.105565
256,0.047765
257,0.127711
258,0.142808
259,0.742124
260,0.107587
261,0.143472
262,0.343859
263,0.191365
264,0.38825
265,0.341152
266,0.064349
267,0.123392
268,0.257469
269,0.290915
270,0.160042
271,0.36567
272,0.219289
273,0.392168
274,0.515638
275,0.632333
276,0.063733
277,0.035249
278,0.047012
279,0.035157
280,0.102006
281,0.395991
282,0.074537
283,0.615371
284,0.039142
285,0.060682
286,0.628536
287,0.160253
288,0.078921
289,0.122735
290,0.870936
291,0.098122
292,0.324241
293,0.455961
294,0.11063
295,0.089652
296,0.657126
297,0.079969
298,0.309699
299,0.060258
300,0.145817
301,0.044715
302,0.207784
303,0.207834
304,0.191757
305,0.154477
306,0.268393
307,0.241592
308,0.091917
309,0.768596
310,0.156802
311,0.08682
312,0.038817
313,0.170892
314,0.150261
315,0.240334
316,0.246179
317,0.545672
318,0.490286
319,0.047145
320,0.402303
321,0.396817
322,0.275429
323,0.055531
324,0.062668
325,0.142044
326,0.169004
327,0.41072
328,0.243223
329,0.668672
330,0.040816
331,0.293168
332,0.616189
333,0.338674
334,0.143391
335,0.299741
336,0.535105
337,0.328277
338,0.461617
339,0.284447
340,0.175562
341,0.096967
342,0.510323
343,0.197341
344,0.265688
345,0.037625
346,0.567987
347,0.130719
348,0.187058
349,0.199394
350,0.374702
351,0.115829
352,0.172747
353,0.294656
354,0.369063
355,0.818651
356,0.159522
357,0.040217
358,0.177331
359,0.217664
360,0.13511
361,0.10269
362,0.295263
363,0.235574
364,0.042876
365,0.632565
366,0.347185
367,0.610088
368,0.333184
369,0.085433
370,0.237174
371,0.204445
372,0.568463
373,0.201476
374,0.385156
375,0.509967
376,0.309636
377,0.665522
378,0.044846
379,0.333125
380,0.386446
381,0.248259
382,0.380313
383,0.381754
384,0.156081
385,0.293732
386,0.060392
387,0.483433
388,0.417417
389,0.484888
390,0.325173
391,0.119678
392,0.061696
393,0.093765
394,0.677494
395,0.150923
396,0.253325
397,0.224813
398,0.224477
399,0.326205
400,0.522052
401,0.069435
402,0.086577
403,0.24688
404,0.346548
405,0.403411
406,0.414459
407,0.560127
408,0.306125
409,0.62528
410,0.212358
411,0.081807
412,0.378447
413,0.097499
414,0.170471
415,0.137881
416,0.296723
417,0.253591
418,0.324785
419,0.370921
420,0.553449
421,0.205418
422,0.82108
423,0.174671
424,0.346759
425,0.081755
426,0.069982
427,0.087961
428,0.109903
429,0.615578
430,0.048765
431,0.278239
432,0.527149
433,0.152565
434,0.247192
435,0.123211
436,0.087635
437,0.064608
438,0.175157
439,0.373358
440,0.029748
441,0.070089
442,0.141818
443,0.4171
444,0.203474
445,0.117805
446,0.062667
447,0.246845
448,0.087696
449,0.253751
450,0.114643
451,0.211305
452,0.356486
453,0.272522
454,0.329474
455,0.273354
456,0.557246
457,0.071185
458,0.447535
459,0.405339
460,0.034215
461,0.676825
462,0.314141
463,0.445617
464,0.838691
465,0.415462
466,0.051135
467,0.326141
468,0.214315
469,0.447722
470,0.133237
471,0.188592
472,0.358602
473,0.290535
474,0.750598
475,0.307566
476,0.071664
477,0.03201
478,0.036465
479,0.043922
480,0.260386
481,0.597041
482,0.407359
483,0.393932
484,0.104524
485,0.046732
486,0.371091
487,0.055006
488,0.232382
489,0.022922
490,0.552564
491,0.047428
492,0.142513
493,0.377181
494,0.25488
495,0.063663
496,0.152994
497,0.193449
498,0.235946
499,0.39029
500,0.041388
501,0.416642
502,0.384694
503,0.205983
504,0.059593
505,0.124796
506,0.446879
507,0.047029
508,0.837677
509,0.031963
510,0.064109
511,0.179531
512,0.466355
513,0.092474
514,0.130513
515,0.04298
516,0.236623
517,0.161388
518,0.032734
519,0.150745
520,0.267703
521,0.456814
522,0.07235
523,0.099481
524,0.209506
525,0.378396
526,0.358823
527,0.248772
528,0.169644
529,0.159976
530,0.559894
531,0.302695
532,0.216089
533,0.204267
534,0.156519
535,0.150332
536,0.034892
537,0.21114
